,date,Ticker,COMPANY,GICS Sector,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17,SDG_Mean,MA_7day_1,MA_7day_2,MA_7day_3,MA_7day_4,MA_7day_5,MA_7day_6,MA_7day_7,MA_7day_8,MA_7day_9,MA_7day_10,MA_7day_11,MA_7day_12,MA_7day_13,MA_7day_14,MA_7day_15,MA_7day_16,MA_7day_17,MA_7day_Mean,MA_60day_1,MA_60day_2,MA_60day_3,MA_60day_4,MA_60day_5,MA_60day_6,MA_60day_7,MA_60day_8,MA_60day_9,MA_60day_10,MA_60day_11,MA_60day_12,MA_60day_13,MA_60day_14,MA_60day_15,MA_60day_16,MA_60day_17,MA_60day_Mean,SDG_1_std,SDG_2_std,SDG_3_std,SDG_4_std,SDG_5_std,SDG_6_std,SDG_7_std,SDG_8_std,SDG_9_std,SDG_10_std,SDG_11_std,SDG_12_std,SDG_13_std,SDG_14_std,SDG_15_std,SDG_16_std,SDG_17_std,SDG_std_Mean,SDG_1_count,SDG_2_count,SDG_3_count,SDG_4_count,SDG_5_count,SDG_6_count,SDG_7_count,SDG_8_count,SDG_9_count,SDG_10_count,SDG_11_count,SDG_12_count,SDG_13_count,SDG_14_count,SDG_15_count,SDG_16_count,SDG_17_count,SDG_count_Mean
0,2016-08-03,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,-1.08527131782946,-1.08527131782946,-1.08527131782946,,-1.08527131782946,-1.08527131782946,,,,,,-1.08527131782946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0,,,,,,2.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0
1,2016-08-04,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2016-08-05,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2016-08-06,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016-08-07,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2016-08-08,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2016-08-09,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2016-08-10,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2016-08-11,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2016-08-12,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
